WL	SO	JA	CA
490.119995	2.39	1.27	1.64
491.820007	2.47	1.4	1.71
493.529999	2.43	1.25	1.73
495.230011	2.43	1.29	1.68
496.929993	2.35	1.4	1.65
498.630005	2.68	1.42	1.86
500.329987	2.62	1.55	1.87
502.040009	2.52	1.46	1.86
503.73999	2.57	1.65	1.9
505.440002	2.59	1.54	1.83
507.140015	2.61	1.61	2.03
508.839996	2.94	1.66	2.29
510.549988	2.88	1.9	2.27
512.25	3.09	1.89	2.38
513.950012	3.34	2.17	2.53
515.650024	3.53	2.24	2.77
517.349976	4.02	2.66	3.09
519.059998	4.07	2.64	3.2
520.76001	4.24	2.75	3.29
522.460022	4.39	2.92	3.54
524.159973	4.74	3.11	3.78
525.869995	5.14	3.41	4.04
527.570007	5.4	3.48	4.3
529.27002	5.53	3.55	4.38
530.969971	5.77	3.71	4.61
532.669983	6.17	4.04	4.94
534.380005	6.35	4.18	5.09
536.080017	6.22	4.16	5.05
537.780029	6.34	4.12	5.19
539.47998	6.56	4.34	5.36
541.179993	6.68	4.43	5.47
542.880005	6.73	4.43	5.44
544.590027	6.78	4.46	5.63
546.299988	6.92	4.49	5.61
548.01001	7.01	4.67	5.75
549.72998	7.05	4.64	5.92
551.440002	6.98	4.64	5.91
553.150024	7.1	4.67	5.8
554.869995	7.02	4.67	5.87
556.580017	7.11	4.6	5.84
558.299988	6.95	4.67	5.87
560.01001	6.94	4.56	5.81
561.72998	6.76	4.49	5.65
563.440002	6.52	4.32	5.45
565.150024	6.53	4.25	5.45
566.869995	6.43	4.17	5.3
568.580017	6.05	4.12	5.15
570.299988	5.98	3.93	5.09
572.01001	5.65	3.78	4.77
573.72998	5.42	3.61	4.56
575.440002	5.33	3.53	4.53
577.150024	5.22	3.39	4.5
578.869995	5.09	3.41	4.37
580.590027	4.98	3.38	4.17
582.309998	4.96	3.24	4.15
584.030029	4.86	3.18	4.08
585.76001	4.81	3.2	4.09
587.47998	4.68	3.14	3.94
589.200012	4.77	3.12	3.97
590.919983	4.64	3.06	3.87
592.640015	4.58	3.1	3.93
594.359985	4.55	2.94	3.84
596.080017	4.46	3.03	3.8
597.799988	4.45	3.02	3.67
599.52002	4.38	2.83	3.68
601.23999	4.34	2.94	3.66
602.960022	4.32	2.85	3.65
604.679993	4.29	2.79	3.56
606.400024	4.22	2.79	3.56
608.119995	4.13	2.83	3.47
609.849976	4.09	2.76	3.35
611.570007	4.05	2.65	3.38
613.289978	4.08	2.66	3.34
615.01001	3.95	2.65	3.36
616.72998	3.9	2.61	3.23
618.450012	3.76	2.53	3.18
620.169983	3.67	2.53	3.14
621.890015	3.62	2.41	3.08
623.609985	3.64	2.42	2.97
625.330017	3.67	2.51	2.97
627.049988	3.56	2.3	3.01
628.77002	3.57	2.38	2.89
630.48999	3.57	2.41	2.97
632.210022	3.64	2.37	2.93
633.929993	3.53	2.33	2.89
635.650024	3.45	2.36	2.86
637.380005	3.47	2.3	2.75
639.099976	3.33	2.2	2.77
640.820007	3.29	2.2	2.67
642.539978	3.16	2.09	2.61
644.26001	3.13	2.04	2.55
645.97998	3.06	2.03	2.41
647.700012	2.94	1.96	2.43
649.419983	2.91	1.94	2.31
651.140015	2.87	1.86	2.36
652.859985	2.77	1.78	2.27
654.580017	2.79	1.88	2.15
656.299988	2.83	1.85	2.27
658.02002	2.74	1.82	2.18
659.73999	2.58	1.81	2.11
661.460022	2.54	1.74	2.01
663.179993	2.45	1.65	2.01
664.900024	2.45	1.66	1.96
666.630005	2.41	1.62	1.95
668.349976	2.34	1.62	1.85
670.070007	2.28	1.53	1.84
671.799988	2.3	1.55	1.84
673.52002	2.33	1.62	1.8
675.25	2.35	1.52	1.84
676.969971	2.33	1.63	1.91
678.700012	2.41	1.58	1.88
680.419983	2.44	1.65	2
682.150024	2.57	1.74	1.99
683.869995	2.63	1.79	2.09
685.599976	2.67	1.84	2.2
687.320007	3.33	2.29	2.75
689.039978	4.73	3.18	3.79
690.77002	6.17	4.09	4.84
692.5	7.63	4.99	5.88
694.219971	9.11	5.89	6.92
695.940002	10.6	6.79	7.97
697.669983	12.12	7.69	9.01
699.390015	13.61	8.59	10.05
701.119995	15.1	9.5	11.1
702.840027	16.58	10.4	12.14
704.570007	18.08	11.3	13.19
706.289978	19.55	12.2	14.22
708.02002	21.03	13.1	15.27
709.73999	22.5	14	16.31
711.469971	23.98	14.91	17.36
713.190002	25.45	15.81	18.4
714.919983	26.93	16.71	19.45
716.640015	28.39	17.61	20.49
718.369995	29.87	18.51	21.53
720.090027	31.34	19.41	22.57
721.809998	32.8	20.31	23.61
723.539978	34.27	21.21	24.66
725.26001	35.73	22.11	25.7
726.98999	37.21	23.02	26.75
728.710022	38.67	23.92	27.79
730.440002	40.14	24.82	28.83
732.159973	41.6	25.72	29.87
733.890015	43.08	26.62	30.92
735.609985	44.54	27.52	31.96
737.340027	46.01	28.43	33.01
739.059998	47.47	29.33	34.05
740.789978	48.95	30.23	35.09
742.51001	50.21	31.22	36.33
744.23999	51.2	31.78	37.07
745.960022	51.85	32.34	37.9
747.679993	52.59	32.93	38.63
749.409973	53.66	33.77	39.25
751.130005	53.93	34.01	39.58
752.859985	54.21	34.26	39.91
754.580017	54.48	34.5	40.23
756.309998	54.76	34.74	40.56
758.030029	55.04	34.98	40.89
759.76001	55.31	35.23	41.22
761.47998	55.58	35.47	41.55
763.210022	55.85	35.71	41.88
764.929993	56.12	35.95	42.2
766.659973	56.39	36.2	42.53
768.380005	56.66	36.44	42.86
770.109985	56.93	36.68	43.19
771.830017	57.2	36.92	43.52
773.549988	57.5	37.17	43.84
775.280029	58.72	37.47	44.4
777	58.57	37.26	43.82
778.72998	58.78	37.33	43.97
780.450012	59.29	37.43	44.28
782.179993	59.37	37.54	44.26
783.900024	59.85	37.86	44.82
785.630005	59.91	38.16	44.83
787.349976	59.71	37.89	44.6
789.080017	59.94	38.15	44.91
790.799988	60.04	38.23	44.99
792.530029	60.15	38.31	45.06
794.25	60.25	38.38	45.14
795.97998	60.35	38.46	45.21
797.700012	60.46	38.54	45.29
799.419983	60.56	38.62	45.37
801.150024	60.67	38.7	45.44
802.869995	60.77	38.78	45.52
804.599976	60.88	38.86	45.6
806.320007	60.98	38.94	45.67
808.049988	61.08	39.02	45.75
809.77002	61.19	39.09	45.83
811.5	61.29	39.17	45.9
813.219971	61.4	39.25	45.98
814.950012	61.5	39.33	46.05
816.669983	61.61	39.41	46.13
818.400024	61.71	39.49	46.21
820.119995	61.81	39.57	46.28
821.849976	61.92	39.65	46.36
823.570007	62.02	39.73	46.44
825.289978	62.13	39.8	46.51
827.02002	62.24	39.88	46.59
828.73999	62.34	39.96	46.66
830.469971	62.44	40.04	46.74
832.190002	62.54	40.12	46.82
833.919983	62.65	40.2	46.89
835.640015	62.76	40.28	46.97
837.369995	62.86	40.36	47.05
839.090027	62.97	40.44	47.12
840.820007	63.07	40.52	47.2
842.539978	62.95	40.67	47.65
844.27002	63.36	40.83	47.71
845.98999	63.66	41.26	47.83
847.719971	63.65	41.03	48.22
849.440002	63.91	41.41	48.39
851.159973	64.25	41.32	48.42
852.890015	64.59	41.6	48.8
854.609985	66.05	42.65	49.62
856.340027	64.03	41.66	48.4
858.059998	63.98	41.53	48.47
859.789978	64.37	41.53	48.66
861.51001	64.47	41.52	48.52
863.23999	64.28	41.55	48.67
864.960022	64.88	42.04	49.19
866.690002	66.6	42.98	50.28
868.409973	65.86	42.82	49.87
870.140015	65.17	42.11	49.28
871.859985	64.45	42.22	49.11
873.590027	64.7	42.06	49.33
875.309998	65.04	42.24	49.15
877.030029	64.91	42.1	49.02
878.76001	65.15	42.47	49.25
880.48999	65.5	42.82	49.54
882.210022	65.33	42.72	49.44
883.929993	65.16	42.61	49.34
885.659973	64.99	42.5	49.24
887.380005	64.82	42.4	49.14
889.109985	64.65	42.29	49.04
890.830017	64.48	42.19	48.94
892.559998	64.31	42.08	48.84
894.280029	64.15	41.98	48.73
896.01001	63.98	41.87	48.63
897.72998	63.9	41.86	48.61
899.460022	63.86	41.88	48.62
901.179993	63.82	41.91	48.63
902.900024	63.69	41.85	48.56
904.630005	63.55	41.77	48.49
906.359985	63.42	41.7	48.42
908.080017	63.33	41.68	48.39
909.799988	63.24	41.66	48.36
911.530029	63.14	41.62	48.31
913.25	63	41.54	48.24
914.97998	62.86	41.47	48.16
916.700012	62.68	41.35	48.05
918.429993	62.46	41.2	47.91
920.150024	62.25	41.05	47.77
921.880005	62.06	40.92	47.65
923.599976	61.87	40.8	47.53
925.330017	61.68	40.68	47.42
927.049988	61.51	40.57	47.32
928.780029	61.34	40.47	47.22
930.5	61.14	40.33	47.09
932.22998	60.81	40.09	46.86
933.950012	60.5	39.85	46.63
935.669983	60.19	39.63	46.43
937.400024	59.93	39.44	46.25
939.119995	59.66	39.26	46.07
940.849976	59.44	39.11	45.92
942.570007	59.24	38.99	45.8
944.299988	59.04	38.86	45.67
946.02002	58.74	38.63	45.46
947.75	58.44	38.39	45.24
949.469971	58.13	38.14	45.02
951.200012	57.86	37.93	44.83
952.919983	57.58	37.72	44.63
954.650024	57.33	37.55	44.47
956.369995	57.16	37.45	44.37
958.099976	56.99	37.35	44.26
959.820007	56.81	37.25	44.16
961.539978	56.63	37.14	44.05
963.27002	56.44	37.04	43.94
964.98999	56.27	36.95	43.84
966.719971	56.11	36.87	43.74
968.440002	55.94	36.78	43.65
970.169983	55.8	36.72	43.58
971.890015	55.65	36.66	43.5
973.619995	55.52	36.6	43.43
975.340027	55.4	36.56	43.38
977.070007	55.28	36.51	43.32
977.710022	55.18	36.49	43.29
983.369995	55.16	36.5	43.29
989.039978	54.93	36.55	43.26
994.700012	54.62	36.48	43.16
1000.369995	54.71	36.59	43.34
1006.030029	57	38.37	45.27
1011.700012	57.77	39.5	46.08
1017.359985	59.42	40.92	47.54
1023.030029	59.59	41.69	48.13
1028.689941	59.57	42.02	48.16
1034.359985	59.66	42.51	48.65
1040.02002	59.73	43.2	48.9
1045.689941	59.69	43.31	49.3
1051.349976	59.8	43.77	49.38
1057.02002	60.26	44.12	49.72
1062.680054	60.54	44.47	49.8
1068.349976	60.63	44.61	49.95
1074.01001	60.06	44.18	49.53
1079.670044	59.98	44.41	49.66
1085.339966	60	44.27	49.3
1091.01001	59.74	44	49.09
1096.670044	59.45	43.67	48.83
1102.339966	59.15	43.34	48.57
1108	58.72	42.85	48.18
1113.660034	58.18	42.24	47.7
1119.329956	57.42	41.39	47.01
1124.98999	56.62	40.61	46.3
1130.660034	55.79	39.85	45.59
1136.319946	54.3	38.41	44.27
1141.98999	52.29	36.43	42.49
1147.650024	50.56	34.74	40.95
1153.319946	49.31	33.59	39.86
1158.97998	48.37	32.78	39.05
1164.650024	47.51	31.95	38.28
1170.310059	46.94	31.36	37.76
1175.97998	46.46	30.87	37.32
1181.630005	46.12	30.42	36.98
1187.280029	46.13	30.16	36.91
1192.930054	46.71	29.84	37.17
1198.569946	46.7	29.52	37.43
1204.219971	46.12	29.4	37.05
