WL	Chl 5	Chl 10	Chl 15	Chl 20	Chl 25	Chl 30	Chl 35	Chl 40	Chl 45	Chl 50	Chl 55	Chl 60
400	5	3.6	2.9	2.5	2.3	2.1	2	2	1.9	1.9	1.9	1.9
410	5.7	3.9	3.1	2.6	2.3	2.1	2	1.9	1.9	1.9	1.9	1.8
420	7.1	4.6	3.4	2.8	2.4	2.2	2.1	2	1.9	1.9	1.8	1.8
430	8.2	5.1	3.7	2.9	2.5	2.3	2.1	2	1.9	1.9	1.8	1.8
440	9.4	5.8	4.1	3.3	2.7	2.4	2.2	2.1	2	1.9	1.9	1.9
450	10.9	6.7	4.8	3.8	3.1	2.7	2.4	2.3	2.1	2	2	1.9
460	11.5	7.1	5.1	3.9	3.3	2.8	2.5	2.3	2.2	2.1	2	1.9
470	11.9	7.3	5.2	4	3.3	2.9	2.6	2.3	2.2	2.1	2	1.9
480	12.2	7.6	5.4	4.2	3.5	3	2.6	2.4	2.2	2.1	2	2
490	12.9	8.1	5.9	4.6	3.7	3.2	2.8	2.6	2.4	2.2	2.1	2
500	14.5	9.4	6.9	5.4	4.4	3.8	3.3	3	2.7	2.5	2.4	2.2
510	17.5	12.1	9.2	7.4	6.2	5.3	4.6	4.1	3.7	3.4	3.1	2.9
520	20.7	15.4	12.3	10.2	8.6	7.5	6.6	5.9	5.3	4.9	4.5	4.1
530	22.4	17.3	14	11.8	10.2	8.9	7.9	7.1	6.4	5.9	5.4	5
540	23.3	18.1	14.8	12.5	10.8	9.5	8.5	7.6	6.9	6.3	5.8	5.4
550	23.9	18.8	15.4	13.1	11.3	10	8.9	8	7.3	6.7	6.2	5.7
560	23.8	18.4	15.1	12.7	11	9.6	8.6	7.7	7	6.4	5.9	5.4
570	22.9	17.3	13.9	11.5	9.9	8.6	7.6	6.8	6.1	5.6	5.1	4.7
580	22.1	16.2	12.8	10.5	8.9	7.7	6.8	6	5.4	4.9	4.5	4.2
590	21.6	15.5	12.1	9.8	8.3	7.1	6.2	5.5	5	4.5	4.1	3.8
600	21.1	14.9	11.5	9.3	7.8	6.7	5.8	5.2	4.6	4.2	3.8	3.5
610	20.2	14	10.6	8.5	7.1	6	5.2	4.6	4.1	3.8	3.4	3.2
620	19.6	13.3	10	7.9	6.6	5.6	4.8	4.3	3.8	3.5	3.2	2.9
630	19.4	13	9.7	7.7	6.4	5.4	4.7	4.1	3.7	3.3	3.1	2.9
640	18.5	12.1	8.9	7	5.7	4.9	4.2	3.7	3.3	3	2.8	2.6
650	16.9	10.7	7.7	6	4.9	4.1	3.6	3.2	2.9	2.6	2.4	2.3
660	14.7	8.9	6.3	4.8	3.9	3.3	2.9	2.6	2.4	2.2	2.1	2
670	13.3	7.8	5.5	4.2	3.4	2.9	2.5	2.3	2.2	2	2	1.9
680	13.4	8.1	5.8	4.5	3.8	3.3	2.9	2.7	2.5	2.4	2.3	2.3
690	17.6	11.1	8	6.2	5.1	4.3	3.7	3.3	2.9	2.7	2.5	2.4
700	25.6	18.4	14.4	11.8	9.9	8.6	7.5	6.7	6	5.4	5	4.6
710	33.3	27	22.8	19.8	17.5	15.6	14.1	12.9	11.8	10.9	10.1	9.5
720	38.4	33.9	30.5	27.7	25.4	23.5	21.8	20.4	19.1	18	17	16.1
730	41.8	39.2	37	35	33.2	31.7	30.2	28.9	27.7	26.7	25.6	24.7
740	43.9	42.7	41.5	40.5	39.4	38.5	37.6	36.7	35.9	35.1	34.3	33.6
750	45.2	44.8	44.4	44	43.6	43.2	42.8	42.4	42.1	41.7	41.4	41
760	46	45.9	45.8	45.7	45.6	45.5	45.4	45.3	45.2	45.1	45	44.9
770	46.4	46.4	46.4	46.4	46.4	46.4	46.4	46.4	46.4	46.4	46.4	46.4
780	46.8	46.8	46.8	46.8	46.8	46.8	46.8	46.8	46.8	46.8	46.8	46.8
790	47.2	47.2	47.2	47.2	47.2	47.2	47.2	47.2	47.2	47.2	47.2	47.2
800	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5
810	47.8	47.8	47.8	47.8	47.8	47.8	47.8	47.8	47.8	47.8	47.8	47.8
820	48.1	48.1	48.1	48.1	48.1	48.1	48.1	48.1	48.1	48.1	48.1	48.1
830	48.3	48.3	48.3	48.3	48.3	48.3	48.3	48.3	48.3	48.3	48.3	48.3
840	48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5
850	48.7	48.7	48.7	48.7	48.7	48.7	48.7	48.7	48.7	48.7	48.7	48.7
860	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9
870	49.1	49.1	49.1	49.1	49.1	49.1	49.1	49.1	49.1	49.1	49.1	49.1
880	49.3	49.3	49.3	49.3	49.3	49.3	49.3	49.3	49.3	49.3	49.3	49.3
890	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5
900	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7
910	49.9	49.9	49.9	49.9	49.9	49.9	49.9	49.9	49.9	49.9	49.9	49.9
920	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8
930	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7	49.7
940	49.3	49.3	49.3	49.3	49.3	49.3	49.3	49.3	49.3	49.3	49.3	49.3
950	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6
960	47.7	47.7	47.7	47.7	47.7	47.7	47.7	47.7	47.7	47.7	47.7	47.7
970	47.3	47.3	47.3	47.3	47.3	47.3	47.3	47.3	47.3	47.3	47.3	47.3
980	47.4	47.4	47.4	47.4	47.4	47.4	47.4	47.4	47.4	47.4	47.4	47.4
990	47.7	47.7	47.7	47.7	47.7	47.7	47.7	47.7	47.7	47.7	47.7	47.7
1000	48.1	48.1	48.1	48.1	48.1	48.1	48.1	48.1	48.1	48.1	48.1	48.1
1010	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6	48.6
1020	49.1	49.1	49.1	49.1	49.1	49.1	49.1	49.1	49.1	49.1	49.1	49.1
1030	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5
1040	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8	49.8
