Plot_ID,Species,Stems / ha,Mean DBH,BA / ha,Vol / ha,N_Pulses,N_Returns,First_Return,Multi_Return,LPI,CDensity,FCI,LCI,GapFrac,VCC,hMean,qhMean,h25,h50,h60,h70,h75,h80,h90,h95,h99,hmax,IQR,Skew,Kurtosis,VDR,CanopyRR,L_mean,L_scale,L_skewness,L_kurtosis,L_variation,Closed_Vol,Open_Vol,Oligophotic_Vol,Euphotic_Vol,cvm_filled_vol,cvm_filled_prop,Closed_Prop,Open_Prop,Oligophotic_Prop,Euphotic_Prop,p_mean,p_scale,p_skewness,p_kurtosis,p_variation,chm_rumple,chm_ruggedness,chm_roughness,chm_vf,chm_vl,chm_vd,wv_peaks,wv_auc,wv_mid,wv_min,wv_max,wv_width,wv_prominence,wv_midmin,wv_midmax,wv_minmax,h25f,h50f,h60f,h70f,h75f,h80f,h85f,h90f,h95f,h99f,L_mean_f,L_scale_f,L_skewness_f,L_kurtosis_f,L_variation_f
PL0001,LPN,1675,11,15.69,67,3501,5453,0.642,0.358,0.22,0.557,67.01,35.297,0.443,81.94,3.799,4.026,2.731,3.535,3.925,4.356,4.582,4.881,5.655,6.365,7.673,9.263,1.851,0.931,0.6,0.618,0.495,3.799,0.733,0.19,0.093,0.193,473.125,946.25,849.375,1698.75,2548.125,0.642,0.119,0.239,0.214,0.428,1.751,0.831,0.217,0.107,0.475,1.263,1.758,6.923,1538.547,935.241,603.306,1,3.347,4,11,2.5,8.5,0.11,1.676,830.667,495.667,2.856,3.678,4.07,4.478,4.747,5.027,5.388,5.778,6.558,7.762,3.923,0.751,0.171,0.096,0.192
PL0002,SS,2300,10,18.79,91,6397,10826,0.591,0.409,0.105,0.731,84.06,57.394,0.269,88.54,4.02,4.205,3.011,3.928,4.294,4.7,4.885,5.106,5.71,6.148,7.054,8.169,1.874,0.397,-0.46,0.519,0.57,4.02,0.701,0.079,0.065,0.174,265.625,425,1056.875,1691,2747.875,0.799,0.077,0.124,0.307,0.492,1.789,0.771,0.162,0.092,0.431,1.058,1.838,7.423,1959.581,1143.95,815.631,1,3.619,4,10,2.5,7.5,0.135,2.081,684.556,329,3.321,4.29,4.635,4.954,5.155,5.364,5.63,5.937,6.369,7.187,4.278,0.718,0.027,0.076,0.168
PL0003,LPN/SS,1675,10,15.35,67,3833,5940,0.645,0.355,0.198,0.589,69.84,39.108,0.411,80.9,3.801,4.016,2.791,3.58,3.933,4.328,4.558,4.837,5.465,6.23,7.856,8.942,1.767,0.976,0.956,0.6,0.484,3.801,0.711,0.179,0.107,0.187,416.25,749.25,906.25,1631.25,2537.5,0.686,0.112,0.202,0.245,0.441,1.71,0.784,0.183,0.087,0.459,1.635,2.026,6.018,1593.677,1006.259,587.419,1,3.34,4,10.5,2.5,8,0.118,1.748,289.6,165.7,2.862,3.709,4.069,4.471,4.689,4.967,5.225,5.652,6.385,8.187,3.913,0.73,0.165,0.109,0.187
PL0008,SS,1450,11,16.04,82,2681,4563,0.588,0.412,0.13,0.668,76.02,53.666,0.332,84.24,4.297,4.536,3.096,4.152,4.56,5.086,5.352,5.593,6.302,6.88,7.872,9.25,2.256,0.467,-0.434,0.551,0.546,4.297,0.824,0.099,0.065,0.192,406.5,609.75,1180.5,1770.75,2951.25,0.744,0.102,0.154,0.298,0.446,1.906,0.892,0.179,0.068,0.468,1.433,1.082,5.954,1900.799,1164.375,736.424,1,4.149,4,11,2.5,8.5,0.117,2.061,1040,504.5,3.51,4.488,4.938,5.429,5.646,5.901,6.234,6.587,7.094,8.125,4.602,0.839,0.054,0.075,0.182
PL0009,SS,2025,14,34.2,217,3513,6795,0.517,0.483,0.063,0.902,97.12,82.876,0.098,96.56,6.346,6.685,4.768,6.39,6.943,7.551,7.866,8.208,9.125,9.761,10.955,13.033,3.098,0.076,-0.598,0.51,0.579,6.346,1.202,0.008,0.079,0.189,182.875,199.5,2726.625,2974.5,5701.125,0.937,0.03,0.033,0.448,0.489,2.318,0.994,0.181,0.115,0.429,2.562,2.02,8.358,3614.925,2554.778,1060.147,1,6.035,7,15,2.5,12.5,0.13,4.918,3005,611,5.483,7.055,7.604,8.167,8.474,8.798,9.163,9.548,10.153,11.297,6.963,1.176,-0.034,0.091,0.169
PL0010,SS,400,10,3.35,13,3565,4619,0.772,0.228,0.655,0.216,22.16,19.545,0.784,36.34,3.337,3.479,2.516,3.146,3.387,3.83,4.014,4.195,4.745,5.256,5.941,6.445,1.498,0.727,-0.193,0.512,0.562,3.337,0.551,0.171,0.07,0.165,521,651.25,238,297.5,535.5,0.313,0.305,0.381,0.139,0.174,0.869,0.603,0.447,0.104,0.694,0.683,0.089,1.499,506.738,184.369,322.369,1,2.865,4,8,2.5,5.5,0.099,1.474,132,89.571,2.615,3.226,3.535,3.973,4.16,4.339,4.573,4.887,5.344,5.964,3.435,0.574,0.152,0.059,0.167
PL0012,SS,2825,11,27.78,156,9395,17017,0.552,0.448,0.035,0.926,95.78,88.717,0.074,98.01,5.516,5.751,4.356,5.562,6.046,6.442,6.696,6.968,7.615,8.182,9.033,10.611,2.34,-0.027,-0.574,0.476,0.611,5.516,0.93,-0.014,0.087,0.169,128.25,128.25,2252.25,2252.25,4504.5,0.946,0.027,0.027,0.473,0.473,1.956,0.763,0.124,0.104,0.39,2.768,1.358,8.904,3202.305,2170.398,1031.908,1,4.779,6,12.5,2.5,10,0.162,4.679,4859,1038.5,5.032,6.149,6.492,6.923,7.115,7.332,7.633,7.964,8.417,9.259,6.025,0.882,-0.061,0.122,0.146
PL0013,SS,2050,14,31.06,182,5675,9549,0.594,0.406,0.073,0.875,93.74,78.317,0.125,98.19,6.271,6.567,4.894,6.412,6.924,7.434,7.682,7.994,8.688,9.325,10.453,11.766,2.788,-0.131,-0.565,0.455,0.6,6.271,1.111,-0.039,0.087,0.177,148.5,121.5,2761,2259,5020,0.949,0.028,0.023,0.522,0.427,2.029,0.865,0.198,0.14,0.426,1.613,1.866,7.383,3614.154,2586.426,1027.728,1,5.522,7.5,13.5,2.5,11,0.145,5.395,406.091,75.273,5.362,6.925,7.382,7.834,8.091,8.345,8.632,9.031,9.56,10.544,6.672,1.106,-0.083,0.099,0.166
PL0014,SS,1700,14,28.65,199,3559,7207,0.494,0.506,0.133,0.834,90.14,76.809,0.166,93.23,8.067,8.459,6.267,8.26,8.938,9.6,9.952,10.283,11.279,11.997,13.33,15.206,3.685,-0.2,-0.526,0.457,0.605,8.067,1.451,-0.05,0.09,0.18,416.25,333,3551.25,2841,6392.25,0.895,0.058,0.047,0.497,0.398,2.918,1.35,0.243,0.14,0.463,2.381,4.629,13.534,4366.611,2842.335,1524.276,1,6.902,9.5,17,2.5,14.5,0.129,9.425,2592,275,7.251,9.125,9.701,10.269,10.596,10.96,11.338,11.777,12.461,13.6,8.813,1.401,-0.095,0.112,0.159
PL0015,SS,1975,12,26.06,145,5950,11568,0.514,0.486,0.154,0.761,94.54,56.568,0.239,99.81,5.416,5.881,3.529,4.983,5.808,6.61,7.049,7.581,8.781,9.53,10.982,12.802,3.52,0.553,-0.563,0.611,0.493,5.416,1.296,0.136,0.049,0.239,79.875,115.375,2300.625,3323.125,5623.75,0.966,0.014,0.02,0.395,0.571,2.264,0.952,0.19,0.106,0.421,3.269,1.964,11.539,3214.924,1859.284,1355.641,1,5.753,4.5,14.5,2.5,12,0.086,2.044,884.4,432.6,3.684,5.18,6.066,6.822,7.364,7.907,8.489,9.076,9.884,11.315,5.636,1.329,0.135,0.047,0.236
