,Plot_ID,Species,Stems / ha,Mean DBH,BA / ha,Vol / ha,Skew,CanopyRR,Oligophotic_Prop,Euphotic_Prop,p_mean,p_kurtosis,p_variation,chm_rumple,chm_ruggedness,chm_vf,chm_vl,wv_midmin
0,PL0001,LPN,1675,11,15.69,67,0.931,0.495,0.214,0.428,1.751,0.107,0.475,1.263,1.758,1538.547,935.241,1.676
1,PL0002,SS,2300,10,18.79,91,0.397,0.57,0.307,0.492,1.789,0.092,0.431,1.058,1.838,1959.581,1143.95,2.081
2,PL0003,LPN/SS,1675,10,15.35,67,0.976,0.484,0.245,0.441,1.71,0.087,0.459,1.635,2.026,1593.677,1006.259,1.748
3,PL0008,SS,1450,11,16.04,82,0.467,0.546,0.298,0.446,1.906,0.068,0.468,1.433,1.082,1900.799,1164.375,2.061
4,PL0009,SS,2025,14,34.2,217,0.076,0.579,0.448,0.489,2.318,0.115,0.429,2.562,2.02,3614.925,2554.778,4.918
5,PL0010,SS,400,10,3.35,13,0.727,0.562,0.139,0.174,0.869,0.104,0.694,0.683,0.089,506.738,184.369,1.474
6,PL0012,SS,2825,11,27.78,156,-0.027,0.611,0.473,0.473,1.956,0.104,0.39,2.768,1.358,3202.305,2170.398,4.679
7,PL0013,SS,2050,14,31.06,182,-0.131,0.6,0.522,0.427,2.029,0.14,0.426,1.613,1.866,3614.154,2586.426,5.395
8,PL0014,SS,1700,14,28.65,199,-0.2,0.605,0.497,0.398,2.918,0.14,0.463,2.381,4.629,4366.611,2842.335,9.425
9,PL0015,SS,1975,12,26.06,145,0.553,0.493,0.395,0.571,2.264,0.106,0.421,3.269,1.964,3214.924,1859.284,2.044
10,PL0016,SS/EL,1300,9,10.37,53,1.019,0.436,0.21,0.49,2.717,0.093,0.426,0.896,1.455,1871.835,758.139,1.789
11,PL0017,SS,3025,10,27.51,148,0.327,0.572,0.419,0.539,1.796,0.113,0.404,2.098,1.947,2770.282,1961.949,2.977
12,PL0018,SS,1800,18,54.42,402,-0.265,0.623,0.509,0.375,3.08,0.19,0.496,3.878,4.003,5342.595,3872.392,16.593
13,PL0019,SS,2075,11,20.44,104,0.638,0.53,0.269,0.582,2.021,0.086,0.438,1.757,2.713,2395.328,1344.661,2.361
14,PL0021,SS,2350,13,31.27,170,0.181,0.575,0.407,0.509,1.821,0.119,0.443,1.198,2.848,2931.466,2165.37,3.697
15,PL0022,SS/JL,925,10,7.61,33,0.788,0.596,0.197,0.393,1.314,0.056,0.469,1.212,0.698,1179.481,660.915,1.344
16,PL0024,SS,1175,21,39.55,374,-0.65,0.679,0.615,0.308,4.692,0.181,0.558,6.373,3.286,7726.171,4759.206,48.88
17,PL0025,SS,750,26,38.24,316,-0.372,0.623,0.566,0.317,4.576,0.146,0.511,2.753,4.556,6480.33,3502.554,13.123
18,PL0026,SS,1100,11,10.31,45,0.801,0.515,0.172,0.345,1.263,0.053,0.49,1.082,1.272,1224.364,853.54,1.547
19,PL0027,SS/LPN,1725,15,30.85,168,0.373,0.525,0.356,0.515,2.624,0.119,0.456,1.935,3.164,2945.977,1588.202,2.585
20,PL0028,SS,1775,24,79.07,705,-0.369,0.734,0.613,0.295,3.922,0.285,0.576,3.493,5.175,8727.056,5387.186,3681.0
21,PL0029,SS,1075,21,38.7,312,-0.067,0.566,0.477,0.424,3.477,0.223,0.454,2.864,1.394,4974.213,3108.521,4.903
22,PL0031,SS,1150,28,62.7,623,-0.923,0.711,0.659,0.307,4.444,0.236,0.566,4.726,4.335,8580.706,5272.168,74.361
23,PL0032,SS,700,9,4.53,18,0.872,0.569,0.16,0.319,1.494,0.047,0.423,0.988,1.024,1053.7,422.794,1.324
24,PL0033,SS,1175,10,10.5,45,0.789,0.55,0.234,0.352,1.441,0.05,0.456,2.023,1.3,1272.267,748.567,1.556
25,PL0034,SS,475,25,23.59,196,-0.279,0.632,0.487,0.339,4.595,0.146,0.497,2.734,2.846,5680.328,2832.496,28.381
26,PL0035,SS,1550,10,13.38,69,0.676,0.527,0.261,0.521,1.864,0.087,0.435,2.069,2.125,1874.796,1084.779,1.751
27,PL0036,SS,1675,19,45.23,375,-0.296,0.691,0.629,0.315,4.0,0.202,0.551,1.154,6.145,6963.862,4212.51,221.857
28,PL0037,SS,1850,15,32.76,215,-0.064,0.603,0.542,0.407,2.661,0.119,0.373,1.837,3.374,3963.78,2440.906,6.04
29,PL0038,SS,825,10,6.62,30,1.011,0.531,0.151,0.502,1.694,0.062,0.404,1.648,1.206,1385.181,588.27,1.408
30,PL0039,SS,500,10,3.97,18,1.059,0.491,0.103,0.257,1.527,0.034,0.53,1.282,1.728,815.854,324.941,1.496
31,PL0040,SS,1175,19,35.09,235,0.112,0.551,0.329,0.438,3.407,0.169,0.487,1.243,2.18,4471.951,2660.514,4.438
32,PL0041,SS/LPN,550,8,3.14,12,1.513,0.529,0.095,0.285,1.266,0.031,0.487,1.142,1.334,856.171,445.727,1.28
33,PL0042,SS,650,9,4.85,19,1.463,0.575,0.098,0.343,1.165,0.012,0.472,1.526,1.018,877.275,523.871,1.141
34,PL0043,SS,1450,10,13.59,63,0.725,0.588,0.213,0.425,1.485,0.067,0.429,1.584,0.761,1277.919,732.972,1.438
35,PL0044,SS,2750,18,71.74,703,-0.58,0.795,0.676,0.225,2.771,0.32,0.477,5.969,5.5,8378.873,6341.384,2320.667
36,PL0045,SS,325,12,4.13,16,0.986,0.536,0.071,0.165,0.871,0.091,0.666,0.688,0.228,539.683,269.638,1.377
37,PL0046,SS,1600,11,16.15,76,0.356,0.56,0.338,0.507,1.919,0.094,0.455,2.35,1.849,2186.84,1236.797,2.179
38,PL0047,SS,450,9,3.53,15,1.237,0.588,0.083,0.25,1.079,0.02,0.475,0.925,0.818,762.118,452.663,1.144
39,PL0048,SS,1300,9,9.81,45,0.895,0.548,0.198,0.436,2.701,0.047,0.408,1.389,1.861,1638.395,364.937,1.8
40,PL0050,SS,1625,11,16.32,85,0.475,0.541,0.268,0.492,1.902,0.104,0.465,2.607,1.654,2150.411,1188.374,2.014
41,PL0051,SS,1550,10,12.72,60,0.793,0.558,0.24,0.48,2.108,0.041,0.426,1.161,1.457,1507.044,440.605,1.555
42,PL0052,SS,400,30,28.3,238,-0.428,0.676,0.487,0.244,5.371,0.116,0.566,3.185,6.079,6239.669,3036.751,67.59
43,PL0053,LPS,825,8,4.29,18,0.884,0.566,0.123,0.246,1.588,0.011,0.513,1.01,1.127,796.259,243.475,1.37
44,PL0054,LPN,475,8,2.63,11,1.017,0.55,0.091,0.182,1.605,0.06,0.465,1.188,1.565,690.092,220.489,1.308
45,PL0055,LPN,650,8,4.05,17,1.01,0.55,0.102,0.271,1.61,0.059,0.457,1.042,1.322,863.525,301.253,1.318
46,PL0056,SS,1900,10,16.82,88,0.435,0.559,0.376,0.501,2.512,0.079,0.408,1.464,1.796,2327.909,730.258,1.993
47,PL0057,SS,1400,10,12.2,56,0.587,0.535,0.276,0.441,1.983,0.095,0.442,2.516,1.511,1740.881,799.47,1.766
48,PL0058,SS,2575,10,24.06,116,0.488,0.567,0.362,0.62,1.957,0.114,0.466,2.573,1.164,2732.673,1496.01,3.166
49,PL0059,SS/JL,900,9,7.59,36,0.925,0.511,0.176,0.395,1.942,0.094,0.416,1.021,0.887,1345.362,353.958,1.516
50,PL0060,SS,1150,12,15.22,70,0.606,0.519,0.296,0.592,2.173,0.09,0.421,1.613,2.925,2366.442,1086.447,1.942
51,PL0061,SS,1150,14,20.18,100,0.441,0.532,0.359,0.513,2.114,0.105,0.421,2.235,1.333,2571.386,1494.855,2.227
52,PL0062,LPN,675,9,4.44,19,0.896,0.553,0.104,0.244,1.682,0.052,0.471,0.968,1.093,826.011,268.229,1.406
53,PL0063,SS,2250,10,20.54,118,0.329,0.542,0.336,0.462,2.102,0.089,0.489,1.974,3.479,2476.252,1589.73,2.804
54,PL0064,SS,925,15,17.82,82,0.716,0.483,0.242,0.415,1.747,0.051,0.467,1.624,2.271,1801.721,1139.625,1.932
55,PL0065,SS,375,9,2.57,10,1.39,0.508,0.103,0.308,1.353,0.06,0.458,1.174,1.235,957.323,347.584,1.23
56,PL0067,SS,1400,14,24.19,127,-0.084,0.602,0.438,0.398,2.887,0.078,0.509,1.572,2.834,3217.185,1607.107,7.267
57,PL0068,SS,1500,13,20.56,118,0.228,0.562,0.395,0.514,3.024,0.062,0.474,1.26,2.997,3190.602,1345.768,4.884
58,PL0069,SS,2050,16,43.08,296,-0.288,0.642,0.554,0.406,2.617,0.194,0.506,3.353,2.172,4743.696,3175.934,14.557
59,PL0070,SS,1800,15,37.08,302,-0.657,0.682,0.635,0.317,4.04,0.127,0.516,2.329,5.22,6028.28,3359.359,22.766
60,PL0071,SS,1550,21,57.05,508,-0.169,0.586,0.437,0.368,10.85,0.1,0.229,4.235,3.231,4963.837,241.769,8.964
61,PL0072,LPS/SS,1750,20,60.56,527,-0.733,0.68,0.618,0.309,13.398,0.084,0.258,1.428,6.634,7691.712,278.458,31.88
62,PL0073,SS/LPS,1625,18,43.69,322,-0.376,0.657,0.536,0.395,3.689,0.161,0.516,4.648,2.551,5754.01,3500.41,30.09
63,PL0074,SS,2225,14,36.21,207,0.122,0.569,0.456,0.507,1.892,0.134,0.421,2.96,2.825,3163.647,2138.12,2.673
64,PL0075,SS,1550,17,38.89,314,-0.669,0.687,0.618,0.353,4.038,0.149,0.53,5.144,2.975,6491.172,3694.234,39.208
65,PL0076,SS/LPS,1700,19,50.51,433,-0.639,0.68,0.637,0.334,4.284,0.115,0.518,3.396,5.972,6341.941,3463.957,25.557
66,PL0077,SS/CP,450,29,34.54,387,-0.524,0.716,0.473,0.203,6.986,0.052,0.599,6.664,3.689,7444.1,3708.63,718.667
67,PL0078,LPS,1875,18,47.16,326,-0.813,0.687,0.552,0.289,4.391,0.061,0.569,4.765,3.397,5405.824,3041.581,16.25
68,PL0079,SS,1475,24,68.02,858,-0.272,0.795,0.388,0.252,4.548,0.325,0.574,7.496,6.338,11034.535,6973.752,0.0
69,PL0080,SS,1550,10,12.86,59,0.886,0.55,0.231,0.405,1.418,0.062,0.454,0.933,1.355,1361.681,895.363,1.477
70,PL0081,SS,1750,19,50.08,470,-0.676,0.738,0.7,0.28,4.185,0.201,0.563,4.336,1.796,7512.426,3462.498,847.2
71,PL0082,LPN,2700,12,33.38,175,0.148,0.573,0.444,0.494,2.875,0.095,0.438,1.721,2.619,3254.18,1572.231,3.536
72,PL0083,SS,1675,19,50.94,432,-0.512,0.697,0.615,0.324,2.49,0.199,0.447,4.048,3.004,6235.962,4759.261,101.135
73,PL0084,SS,2525,16,54.45,386,-0.561,0.695,0.601,0.36,2.145,0.19,0.446,3.228,2.364,4758.119,3683.245,37.173
74,PL0085,SS,2025,19,49.47,398,-0.591,0.705,0.595,0.34,3.146,0.197,0.587,2.62,4.288,6024.254,3792.322,114.556
75,PL0086,SS,1625,15,31.65,191,-0.085,0.599,0.456,0.456,2.354,0.118,0.416,2.911,3.149,3599.625,2566.011,5.01
76,PL0087,SS,2525,16,55.05,404,-0.702,0.686,0.527,0.281,1.86,0.126,0.463,3.371,4.677,3959.296,3370.069,18.291
77,PL0088,LPS,875,20,29.57,176,-0.103,0.594,0.491,0.338,3.872,0.107,0.493,2.925,5.18,4359.893,1739.521,8.615
78,PL0089,LPN,1750,15,30.46,198,0.067,0.549,0.408,0.44,3.393,0.094,0.461,3.873,2.29,3645.817,1896.455,3.031
79,PL0090,SS,1575,14,34.65,260,0.06,0.582,0.466,0.373,4.317,0.108,0.549,3.96,6.055,5246.969,2389.171,23.225
80,PL0091,SS,1700,21,61.3,620,-1.099,0.718,0.689,0.271,2.751,0.244,0.478,5.751,1.224,7960.399,6434.286,32.734
81,PL0092,SS,1325,22,51.31,463,-0.166,0.59,0.55,0.419,3.927,0.191,0.436,4.056,3.552,6310.961,3454.895,13.439
82,PL0093,SS,1575,20,53.87,476,-0.328,0.651,0.576,0.384,3.613,0.226,0.509,4.812,0.934,6908.281,4409.306,42.179
83,PL0094,SS,1675,20,55.21,492,-0.591,0.709,0.636,0.331,3.991,0.234,0.53,5.765,3.588,7485.871,4479.782,173.0
84,PL0095,SS,1725,18,44.78,392,-0.57,0.666,0.589,0.385,4.549,0.183,0.524,5.839,1.997,7764.27,4316.725,44.576
85,PL0096,SYC/CP,600,23,28.56,286,-0.101,0.555,0.323,0.194,4.697,0.069,0.635,2.345,4.389,3433.189,2052.724,3.953
86,PL0097,SS,2125,21,74.75,624,-0.411,0.75,0.606,0.26,1.583,0.183,0.51,0.742,3.817,6421.158,5867.961,550.0
87,PL0098,LPS/SS,1375,19,43.46,313,-0.216,0.614,0.542,0.4,3.889,0.14,0.484,2.746,4.969,5612.62,3274.765,12.663
88,PL0099,LPN,1925,12,23.12,140,0.365,0.539,0.345,0.518,3.197,0.06,0.43,2.759,2.586,2627.86,916.642,2.583
89,PL0100,LPS,1875,18,49.98,263,-0.033,0.572,0.488,0.419,3.508,0.105,0.505,3.867,3.263,4060.526,2184.848,4.494
90,PL0101,SS,1350,17,33.65,272,-0.095,0.594,0.558,0.427,3.523,0.155,0.446,2.344,5.183,5649.951,3120.308,15.102
91,PL0102,LPS,1850,18,51.74,282,-0.05,0.564,0.403,0.35,3.515,0.104,0.513,2.831,5.042,3573.513,2040.842,6.133
92,PL0103,LPS,950,24,43.8,223,-0.067,0.584,0.494,0.401,3.5,0.12,0.497,3.512,1.755,4494.189,2547.885,5.111
93,PL0104,SS,1550,23,66.02,659,-0.576,0.659,0.604,0.282,5.831,0.099,0.569,5.048,3.384,8131.055,4317.26,19.444
94,PL0105,SS/LPL,1475,24,70.65,657,-0.703,0.674,0.634,0.317,6.165,0.133,0.523,7.171,5.919,9113.507,4590.212,44.83
95,PL0106,SS/LPL,950,25,52.37,554,-0.81,0.666,0.622,0.249,6.188,0.12,0.553,3.559,8.445,8464.61,4635.492,12.053
96,PL0107,SS,1600,13,24.4,133,0.255,0.554,0.371,0.495,2.657,0.057,0.485,2.065,2.308,2799.304,1266.333,2.981
